Area Name,7,8,9,10,11,12
Amandus - Atheneum,3570,641,366,224,121,51
Borgerhout Extra Muros,2337,474,470,260,96,25
Borgerhout Intra Muros Noord,298,118,133,178,133,75
Borgerhout Intra Muros Zuid,633,198,258,219,155,122
Brederode,11025,146,51,13,6,0
Centraal Station,4574,1308,1420,1687,977,346
Dam,4303,1888,1566,788,272,54
Deurne Dorp - Gallifort,5,0,0,0,0,0
Deurne Noord,114,21,25,4,4,3
Deurne Oost,30,4,0,3,3,0
Deurne Zuid Oost,73,4,0,0,0,0
Deurne Zuid West,153,16,9,6,3,1
Donk,46,20,31,32,44,226
Eilandje,12965,3125,1616,1257,613,122
Ekeren Centrum,11,13,16,12,12,125
Groenenhoek,72,10,12,0,0,0
Haringrode,145,178,429,488,396,452
Harmonie,2974,846,889,518,294,112
Haven Antwerpen,12221,725,149,75,14,77
Haven Bezali,11,1,2,0,0,2
Historisch Centrum,4440,679,476,450,205,71
Kiel,16,0,0,0,0,0
Kruininge - Bremweide,13698,2063,883,222,63,13
Lambrechtshoeken,121,136,127,54,26,7
Leugenberg,0,0,1,0,0,0
Linkeroever,990,281,184,115,41,1
Luchtbal,722,70,49,33,10,1
Mariaburg,3,2,16,10,6,31
Markgrave,2632,466,299,82,44,18
Merksem - Heide,67,25,20,17,3,1
Middelheim,33,5,0,0,0,0
Nieuw - Kwartier Oost,37,6,3,0,0,0
Nieuw - Kwartier West,45,9,1,1,0,0
Nieuw - Zuid,604,5,1,1,0,0
Nieuwdreef,287,68,47,11,6,7
Oosterveld - Elsdonk,0,0,0,1,0,0
Oud - Berchem,38696,30,13,14,9,8
Oud - Merksem,779,104,83,34,12,12
Petroleum - Zuid,134,2,0,0,0,0
Polder,11,5,1,6,0,0
Rivierenhof,2,1,0,0,0,0
Schoonbroek-Rozemaai,34,35,57,31,17,63
Sint-Andries,1383,340,213,64,18,0
Stadspark,1670,705,947,1143,905,735
Stuivenberg,1110,870,459,383,219,130
Theaterbuurt-Meir,6349,1505,832,206,24,0
Tuinwijk,238,66,48,34,29,6
Universiteitsbuurt,4561,738,414,243,136,23
Valaar,1,0,0,0,0,0
Wilrijk Centrum,1,0,0,0,0,0
Zuid,6114,434,172,56,6,4
Zurenborg,418,119,153,146,139,185
